x,y
0,6
1,25
2,10
3,28
4,29
5,38
6,43
7,50
8,58
9,48
10,54
11,65
12,62
13,76
14,90
15,93
16,98
17,90
18,97
19,113
20,103
21,107
22,117
23,120
24,125
25,141
26,130
27,139
28,160
29,148
30,151
31,163
32,162
33,182
34,184
35,182
36,185
37,203
38,203
39,214
40,211
41,224
42,229
43,215
44,220
45,226
46,242
47,236
48,252
49,259
50,253
51,264
52,277
53,265
54,282
55,295
56,299
57,292
58,303
59,311
60,313
61,312
62,312
63,319
64,322
65,339
66,330
67,345
68,358
69,356
70,355
71,355
72,375
73,365
74,371
75,375
76,393
77,387
78,410
79,409
80,410
81,417
82,429
83,417
84,420
85,442
86,448
87,455
88,456
89,462
90,469
91,474
92,467
93,472
94,488
95,478
96,481
97,492
98,498
99,505
100,514
