dia,franja,tipo,uso_armas,barrio
Sábado,10,Homicidio por siniestro vial,,Villa Crespo
Domingo,20,Homicidio por siniestro vial,,Flores
Sábado,6,Homicidio por siniestro vial,,Balvanera
Martes,6,Homicidio por siniestro vial,,San Cristóbal
Martes,21,Homicidio por siniestro vial,,Monserrat
Lunes,12,Homicidio por siniestro vial,,Villa Soldati
Lunes,0,Homicidio por siniestro vial,,Monserrat
Jueves,7,Homicidio por siniestro vial,,Recoleta
Sábado,5,Homicidio por siniestro vial,,Constitución
Miércoles,11,Homicidio por siniestro vial,,Almagro
Martes,21,Homicidio por siniestro vial,,Balvanera
Jueves,12,Homicidio por siniestro vial,,Parque Chas
Jueves,2,Homicidio por siniestro vial,,Villa Devoto
Viernes,14,Homicidio por siniestro vial,,San Telmo
Sábado,13,Homicidio por siniestro vial,,San Nicolás
Jueves,23,Homicidio por siniestro vial,,Balvanera
Lunes,14,Homicidio por siniestro vial,,Belgrano
Martes,21,Homicidio por siniestro vial,,Boedo
Viernes,17,Homicidio por siniestro vial,,Balvanera
Sábado,16,Homicidio por siniestro vial,,Recoleta
Martes,6,Homicidio por siniestro vial,,Villa Lugano
Viernes,7,Homicidio por siniestro vial,,Mataderos
Martes,5,Homicidio por siniestro vial,,Balvanera
Domingo,6,Homicidio por siniestro vial,,Belgrano
Lunes,8,Homicidio por siniestro vial,,Villa Lugano
Martes,10,Homicidio por siniestro vial,,Villa Crespo
Miércoles,14,Homicidio por siniestro vial,,Liniers
Martes,15,Homicidio por siniestro vial,,Caballito
Martes,8,Homicidio por siniestro vial,,Mataderos
Viernes,23,Homicidio por siniestro vial,,Villa Crespo
Domingo,6,Homicidio por siniestro vial,,Nuñez
Domingo,3,Homicidio por siniestro vial,,Balvanera
Martes,5,Homicidio por siniestro vial,,Parque Chacabuco
Viernes,18,Homicidio por siniestro vial,,Palermo
Sábado,4,Homicidio por siniestro vial,,Villa Soldati
Domingo,4,Homicidio por siniestro vial,,Palermo
Martes,19,Homicidio por siniestro vial,,Mataderos
Sábado,3,Homicidio por siniestro vial,,Retiro
Lunes,1,Homicidio por siniestro vial,,Parque Chacabuco
Martes,17,Homicidio por siniestro vial,,Villa Lugano
Miércoles,17,Homicidio por siniestro vial,,Retiro
Lunes,0,Homicidio por siniestro vial,,Caballito
Lunes,3,Homicidio por siniestro vial,,Villa Riachuelo
Martes,14,Homicidio por siniestro vial,,Villa Soldati
Martes,21,Homicidio por siniestro vial,,Villa Del Parque
Jueves,20,Homicidio por siniestro vial,,Chacarita
Viernes,20,Homicidio por siniestro vial,,Retiro
Domingo,22,Homicidio por siniestro vial,,Palermo
Jueves,0,Homicidio por siniestro vial,,Floresta
Sábado,6,Homicidio por siniestro vial,,Balvanera
Lunes,3,Homicidio por siniestro vial,,Nueva Pompeya
Jueves,9,Homicidio por siniestro vial,,Parque Patricios
Sábado,13,Homicidio por siniestro vial,,Villa Riachuelo
Lunes,7,Homicidio por siniestro vial,,Villa Santa Rita
Martes,16,Homicidio por siniestro vial,,Vélez Sársfield
Jueves,14,Homicidio por siniestro vial,,Belgrano
Jueves,20,Homicidio por siniestro vial,,Parque Avellaneda
Sábado,8,Homicidio por siniestro vial,,Parque Avellaneda
Sábado,16,Homicidio por siniestro vial,,Saavedra
Lunes,4,Homicidio por siniestro vial,,Villa Luro
Viernes,22,Homicidio por siniestro vial,,Nueva Pompeya
Martes,5,Homicidio por siniestro vial,,Constitución
Jueves,15,Homicidio por siniestro vial,,Recoleta
Jueves,23,Homicidio por siniestro vial,,Flores
Domingo,7,Homicidio por siniestro vial,,Villa Soldati
Domingo,21,Homicidio por siniestro vial,,Flores
Miércoles,14,Homicidio por siniestro vial,,San Nicolás
Viernes,5,Homicidio por siniestro vial,,Parque Chacabuco
Viernes,6,Homicidio por siniestro vial,,Paternal
Domingo,4,Homicidio por siniestro vial,,Saavedra
Sábado,7,Homicidio por siniestro vial,,Villa Devoto
Miércoles,22,Homicidio,,Villa Devoto
Martes,23,Homicidio,,Nueva Pompeya
Miércoles,10,Homicidio,,Saavedra
Miércoles,23,Homicidio,,Barracas
Viernes,21,Homicidio,,Retiro
Sábado,16,Homicidio,,Boca
Miércoles,1,Homicidio,,Retiro
Viernes,4,Homicidio,,Mataderos
Sábado,16,Homicidio,,Retiro
Martes,23,Homicidio,,Retiro
Martes,1,Homicidio,,Barracas
Martes,20,Homicidio,,Retiro
Viernes,18,Homicidio,,Villa Lugano
Sábado,14,Homicidio,,Barracas
Domingo,19,Homicidio,,Retiro
Martes,3,Homicidio,,Retiro
Miércoles,3,Homicidio,,Saavedra
Jueves,18,Homicidio,,Barracas
Jueves,4,Homicidio,,Palermo
Martes,20,Homicidio,,Villa Lugano
Jueves,13,Homicidio,,Balvanera
Miércoles,23,Homicidio,,Constitución
Lunes,3,Homicidio,,Palermo
Lunes,18,Homicidio,,Retiro
Lunes,20,Homicidio,,Flores
Sábado,20,Homicidio,,Constitución
Lunes,13,Homicidio,,Constitución
Jueves,4,Homicidio,,Constitución
Sábado,4,Homicidio,,Parque Avellaneda
Martes,12,Homicidio,,Caballito
Domingo,11,Homicidio,,Nueva Pompeya
Domingo,19,Homicidio,,Villa Soldati
Lunes,12,Homicidio,,Barracas
Martes,15,Homicidio,,Almagro
Miércoles,13,Homicidio,,Barracas
Jueves,23,Homicidio,,Retiro
Lunes,0,Homicidio,,Villa Soldati
Jueves,7,Homicidio,,Constitución
Lunes,4,Homicidio,,Villa Lugano
Domingo,5,Homicidio,,Palermo
Miércoles,16,Homicidio,,Flores
Jueves,18,Homicidio,,Paternal
Sábado,23,Homicidio,,Constitución
Domingo,20,Homicidio,,Barracas
Martes,6,Homicidio,,Belgrano
Viernes,4,Homicidio,,Retiro
Viernes,20,Homicidio,,Barracas
Miércoles,20,Homicidio,,Belgrano
Viernes,20,Homicidio,,Parque Chacabuco
Domingo,1,Homicidio,,Barracas
Miércoles,2,Homicidio,,Retiro
Sábado,8,Homicidio,,Flores
Jueves,11,Homicidio,,Recoleta
Jueves,9,Homicidio,,Barracas
Jueves,7,Homicidio,,Constitución
Lunes,4,Homicidio,,Chacarita
Lunes,21,Homicidio,,Boca
Miércoles,19,Homicidio,,Barracas
Sábado,1,Homicidio,,Chacarita
Sábado,23,Homicidio,,Flores
Sábado,6,Homicidio,,Barracas
Sábado,5,Homicidio,,Nueva Pompeya
